Ticker,Exch.,Name,ICB_Level 2,Mar.Cap (mn USD),Outs. Share,Listed Share,Freefloat (Share),% Freefloat,Total foreign-room (Share),Foreign-owned (Share),Remaining Room (share),% State-owned,% Foreign-owned,% Other-owned,% Remained room,Beta,BVPS (VND),Basic EPS (VND),Basic PE,PB,% ROE,% ROA,EBIT (USD mn),EBITDA (USD mn),,Revenue Plan 2020 (USD mn),"Profit Plan 2020
(USD mn)",Price (VND),T-1,% T-1,% T-3,% 1M,% YTD,% YoY,Matched Vol. ,Put-through Vol.,Matched Value (USD) ,Put-through Value (USD),Total Vol.,"Total Val.
(USD)",TURNOVER 20D,% turnover vs prev 20D,Avg.Vol 20D ,Buying Vol.,Selling Vol.,Net off Vol.,Buying Val.  (USD),Selling Val.  (USD),Net off Val. (USD)
AMD,HOSE,FLC Stone,Real Estate L2,23.24413407," 163,504,874 "," 163,504,874 "," 163,504,874 ",100.0%," 80,117,388 "," 3,132,655 "," 76,984,733 ",0.00%,1.79%,98.21%,47.08%,-0.88," 11,094.34 ", 199.02 , 16.48 , 0.30 ,1.68%,1.21%,2.711229173,4.302959312,,64.61896351,0.86158618," 3,300 ", 20 ,0.61%,-8.59%,5.10%,68.37%,86.44%," 7,155,970 ", -   ," 987,985 ", -   ," 7,155,970 "," 987,985 "," 16,906,894,545 ",35.65%," 4,975,866 "," 256,930 "," (52,260)"," 204,670 "," 36,339 "," (7,380)"," 28,959 "
ANV,HOSE,Nam Viet,Food & Beverage L2,98.03080009," 127,127,875 "," 127,539,625 "," 25,425,575 ",20.0%," 62,494,416 "," 1,636,301 "," 60,858,115 ",0.00%,1.27%,98.73%,47.87%,0.97," 19,110.04 "," 4,303.29 ", 4.25 , 0.96 ,24.21%,13.55%,27.37026044,27.8168042,,0,0," 17,900 ", (400),-2.19%,-11.60%,-4.28%,-21.83%,-33.95%," 506,820 ", -   ," 384,695 ", -   ," 506,820 "," 384,695 "," 6,869,032,575 ",30.00%," 362,125 "," 20,960 "," (3,000)"," 17,960 "," 16,022 "," (2,270)"," 13,752 "
APC,HOSE,An Phu Irradiation,Health Care L2,19.55087968," 19,905,025 "," 20,121,395 "," 6,966,758 ",35.0%," 9,859,483 "," 3,260,179 "," 6,599,304 ",0.00%,16.20%,83.80%,33.15%,0.73," 30,731.67 "," 4,078.33 ", 5.84 , 0.77 ,12.62%,7.12%,3.183365998,3.74416486,,0,0," 22,800 "," (1,000)",-4.20%,2.47%,28.81%,12.59%,-15.56%," 95,700 ", -   ," 93,500 ", -   ," 95,700 "," 93,500 "," 920,648,950 ",135.70%," 43,291 ", -   , -   , -   , -   , -   , -   
APG,HOSE,APG Securities,Financial Services L2,12.90028519," 34,028,900 "," 34,028,900 "," 28,924,565 ",85.0%," 34,028,900 "," 1,795,020 "," 32,233,880 ",0.00%,5.36%,94.64%,94.73%,0.69," 11,075.16 ", 705.45 , 12.91 , 0.82 ,6.59%,6.43%,1.339350988,1.346487294,,3.618661957,0.820230044," 8,800 ", (310),-3.40%,-8.90%,-4.56%,-8.90%,10.69%," 298,810 ", -   ," 113,699 ", -   ," 298,810 "," 113,699 "," 7,725,172,420 ",-65.84%," 854,525 "," 3,000 "," (31,490)"," (28,490)"," 1,150 "," (11,931)"," (10,781)"
ASM,HOSE,Sao Mai Group,Food & Beverage L2,65.57286659," 258,867,849 "," 258,867,849 "," 142,377,316 ",55.0%," 126,845,246 "," 4,001,470 "," 122,843,776 ",0.00%,1.52%,98.48%,47.45%,1.00," 16,066.03 "," 2,055.96 ", 3.02 , 0.39 ,8.43%,3.41%,34.72518855,45.01161587,,0,0," 5,880 ", (320),-5.16%,-10.77%,13.08%,-12.11%,-16.95%," 2,591,070 ", -   ," 659,741 ", -   ," 2,591,070 "," 659,741 "," 15,503,146,925 ",-1.21%," 2,626,581 "," 69,110 ", -   ," 69,110 "," 17,798 ", -   ," 17,798 "
ASP,HOSE,An Pha SG Petrol,Utilities L2,9.168801508," 37,339,542 "," 37,339,929 "," 16,802,793 ",45.0%," 18,296,565 "," 18,296,563 ", 2 ,0.00%,49.00%,51.00%,0.00%,0.42," 12,643.87 "," 1,015.61 ", 5.76 , 0.46 ,7.86%,2.14%,2.587683225,3.97126489,,0,2.15396545," 5,700 ", (150),-2.56%,-5.00%,9.62%,-20.72%,-11.49%," 77,280 ", -   ," 18,542 ", -   ," 77,280 "," 18,542 "," 320,068,860 ",34.35%," 56,077 ", 200 , -   , 200 , 49 , -   , 49 
AST,HOSE,Taseco Air Services,Industrial Goods & Services L2,102.744152," 45,000,000 "," 45,000,000 "," 15,750,000 ",35.0%," 22,050,000 "," 19,228,792 "," 2,821,208 ",0.00%,42.81%,57.19%,6.27%,1.09," 13,287.12 "," 3,480.01 ", 15.40 , 4.03 ,23.81%,19.48%,7.628254516,9.380529839,,0,0," 53,000 ", (600),-1.12%,-9.40%,-3.64%,-37.65%,-18.46%," 272,650 ", -   ," 603,830 ", -   ," 272,650 "," 603,830 "," 7,751,528,200 ",80.83%," 139,353 "," 13,650 "," (51,230)"," (37,580)"," 30,708 "," (113,213)"," (82,505)"
ATG,HOSE,An Truong An,Basic Resources L2,0.517976996," 15,220,000 "," 15,220,000 "," 12,937,000 ",85.0%," 7,457,800 "," 251,560 "," 7,206,240 ",0.00%,1.65%,98.35%,47.35%,0.08," 8,873.43 ", (795.69), (0.93), 0.08 ,0.00%,0.00%,0,0,,0,0, 790 , 50 ,6.76%,19.70%,49.06%,23.44%,-36.29%," 159,120 ", -   ," 5,415 ", -   ," 159,120 "," 5,415 "," 36,744,895 ",242.90%," 64,265 ", -   , -   , -   , -   , -   , -   
BBC,HOSE,Bibica Corporation,Food & Beverage L2,31.88719838," 15,420,782 "," 15,420,782 "," 1,542,078 ",10.0%," 7,556,183 "," 7,197,216 "," 358,967 ",0.00%,46.67%,53.33%,2.33%,0.42," 65,170.24 "," 5,355.14 ", 9.28 , 0.76 ,8.68%,6.34%,3.503460918,5.172754661,,0,0," 48,000 "," (1,700)",-3.42%,-5.33%,12.41%,-17.53%,-26.15%, 770 , -   ," 1,539 ", -   , 770 ," 1,539 "," 172,292,725 ",-79.11%," 3,507 ", 40 , (400), (360), 82 , (799), (716)
BCE,HOSE,Binh Duong Construction,Construction & Materials L2,10.32611037," 30,000,000 "," 30,000,000 "," 13,500,000 ",45.0%," 14,700,000 "," 1,134,014 "," 13,565,986 ",0.00%,3.78%,96.22%,45.22%,0.32," 12,260.15 "," 1,218.83 ", 6.56 , 0.65 ,10.33%,3.70%,2.03124597,2.095457474,,14.98966097,1.486063844," 7,990 ", (10),-0.13%,-3.15%,2.44%,15.97%,9.30%," 210,990 ", -   ," 71,521 ", -   ," 210,990 "," 71,521 "," 971,729,510 ",70.83%," 124,004 ", -   , -   , -   , -   , -   , -   
BCG,HOSE,Bamboo Capital,Financial Services L2,28.80091562," 108,005,760 "," 108,005,760 "," 75,604,032 ",70.0%," 38,644,460 "," 22,150,923 "," 16,493,537 ",0.00%,20.50%,79.50%,15.27%,0.74," 11,462.45 "," 1,030.95 ", 6.01 , 0.54 ,7.06%,1.50%,0.485724921,1.470899334,,0,0," 6,190 ", (10),-0.16%,-4.77%,9.56%,-22.33%,8.79%," 312,160 ", -   ," 82,084 ", -   ," 312,160 "," 82,084 "," 3,643,947,240 ",-47.72%," 584,080 "," 14,960 "," (1,310)"," 13,650 "," 3,951 ", (346)," 3,604 "
BFC,HOSE,Binh Dien Fertilizer,Chemicals L2,30.53819468," 57,167,993 "," 57,167,993 "," 20,008,798 ",35.0%," 28,012,316 "," 2,161,264 "," 25,851,052 ",65.00%,3.78%,31.22%,45.22%,0.61," 16,249.90 "," 1,289.80 ", 9.81 , 0.78 ,6.50%,2.09%,10.72549089,14.24759536,,0,0," 12,400 ", (250),-1.98%,-9.49%,3.77%,10.22%,-38.61%," 681,510 ", -   ," 358,205 ", -   ," 681,510 "," 358,205 "," 10,377,114,125 ",-19.87%," 800,580 "," 7,010 "," (3,980)"," 3,030 "," 3,687 "," (2,135)"," 1,553 "
BHN,HOSE,HABECO,Food & Beverage L2,546.2223754," 231,800,000 "," 231,800,000 "," 1,980,900 ",0.9%," 113,582,000 "," 40,644,020 "," 72,937,980 ",81.79%,17.53%,0.67%,31.47%,0.22," 19,234.47 "," 1,691.96 ", 32.68 , 2.88 ,7.60%,4.78%,14.07605683,35.29239471,,0,0," 54,700 ", (600),-1.08%,-1.44%,-3.70%,-27.65%,-45.84%," 7,760 ", -   ," 17,950 ", -   ," 7,760 "," 17,950 "," 550,064,500 ",-24.19%," 9,926 ", 790 ," (1,950)"," (1,160)"," 1,778 "," (4,578)"," (2,800)"
BIC,HOSE,BIDV Insurance,Insurance L2,111.1485672," 117,276,895 "," 117,276,895 "," 17,591,534 ",15.0%," 57,465,678 "," 55,669,035 "," 1,796,643 ",50.95%,47.45%,1.60%,1.53%,0.00," 19,260.77 "," 1,865.43 ", 12.01 , 1.16 ,9.90%,4.03%,-16.28093658,-16.07321367,,0,0," 22,000 ", (400),-1.79%,4.27%,-8.71%,-13.73%,4.76%," 134,880 ", -   ," 124,981 ", -   ," 134,880 "," 124,981 "," 2,106,074,925 ",37.74%," 99,097 "," 20,500 "," (3,130)"," 17,370 "," 19,289 "," (2,892)"," 16,397 "
BID,HOSE,BIDV,Banks L2,7363.794714," 4,022,018,040 "," 4,022,018,040 "," 201,100,902 ",5.0%," 1,206,605,412 "," 713,198,945 "," 493,406,467 ",95.28%,17.72%,-13.00%,12.27%,1.38," 18,920.83 "," 2,157.79 ", 18.77 , 2.14 ,11.57%,0.55%,0,0,,0,430.7930901," 42,500 "," 2,000 ",4.94%,-1.96%,10.25%,-7.91%,34.92%," 1,913,590 ", -   ," 3,349,957 ", -   ," 1,913,590 "," 3,349,957 "," 69,001,358,350 ",12.70%," 1,685,707 "," 411,860 "," (41,400)"," 370,460 "," 731,726 "," (72,385)"," 659,341 "
BMC,HOSE,Binh Dinh Minerals,Basic Resources L2,6.566551027," 12,392,630 "," 12,392,630 "," 6,815,947 ",55.0%," 6,072,388 "," 2,764,291 "," 3,308,097 ",25.00%,22.32%,52.68%,26.69%,0.80," 16,430.16 "," 1,250.49 ", 10.12 , 0.77 ,7.81%,6.85%,0.759025038,1.330881644,,0,0," 12,300 ", (350),-2.77%,-3.53%,-8.55%,-11.51%,-24.07%," 28,350 ", -   ," 14,783 ", -   ," 28,350 "," 14,783 "," 253,548,225 ",35.28%," 20,275 ", 210 ," (1,890)"," (1,680)", 109 ," (1,004)", (895)
BMI,HOSE,Bao Minh Insurance,Insurance L2,88.35127431," 91,354,037 "," 91,354,037 "," 22,838,509 ",25.0%," 44,763,478 "," 32,656,688 "," 12,106,790 ",50.70%,35.73%,13.57%,13.25%,0.97," 25,194.29 "," 1,935.84 ", 11.78 , 0.90 ,7.85%,3.14%,-4.949514391,-4.25189702,,167.7939086,6.479128075," 22,450 ", (350),-1.54%,-1.75%,-2.39%,-9.48%,-6.85%," 371,670 ", -   ," 347,011 ", -   ," 371,670 "," 347,011 "," 6,578,134,350 ",22.45%," 296,444 "," 18,940 "," (1,750)"," 17,190 "," 18,013 "," (1,656)"," 16,358 "
BMP,HOSE,Binh Minh Plastics,Construction & Materials L2,175.2676784," 81,860,938 "," 81,860,938 "," 36,837,422 ",45.0%," 81,860,938 "," 65,970,368 "," 15,890,570 ",0.02%,80.58%,19.39%,19.41%,0.80," 31,414.89 "," 5,302.32 ", 9.52 , 1.61 ,17.37%,15.22%,25.9184199,32.81832391,,0,0," 49,700 ", (800),-1.58%,-4.42%,5.74%,9.96%,12.06%," 189,970 ", -   ," 399,687 ", -   ," 189,970 "," 399,687 "," 9,838,913,250 ",-5.70%," 203,360 "," 12,890 "," (7,520)"," 5,370 "," 27,418 "," (16,011)"," 11,407 "
BRC,HOSE,Ben Thanh Rubber,Chemicals L2,5.357718513," 12,374,997 "," 12,374,997 "," 1,856,250 ",15.0%," 6,063,748 "," 54,650 "," 6,009,098 ",19.86%,0.44%,79.70%,48.56%,0.28," 15,834.77 "," 1,596.76 ", 6.29 , 0.63 ,9.95%,7.16%,1.106689439,1.726939646,,11.8042907,0.866369707," 10,050 ", -   ,0.00%,-5.19%,-1.95%,-2.43%,5.79%, -   , -   , -   , -   , -   , -   ," 4,301,825 ",132.46%, 424 , -   , -   , -   , -   , -   , -   
BSI,HOSE,BIDV Securities,Financial Services L2,41.89745022," 121,570,689 "," 122,070,078 "," 24,314,137 ",20.0%," 59,814,338 "," 10,141,282 "," 49,673,056 ",0.00%,8.31%,91.69%,40.86%,-0.06," 10,808.97 ", 151.12 , 53.60 , 0.75 ,1.34%,0.90%,2.766691724,2.981620768,,0,0," 8,000 ", (100),-1.23%,-4.65%,1.52%,1.91%,0.00%," 41,880 ", -   ," 14,126 ", -   ," 41,880 "," 14,126 "," 221,710,880 ",47.94%," 27,143 ", -   , -   , -   , -   , -   , -   
BTP,HOSE,Ba Ria Thermal Power,Utilities L2,38.04289665," 60,485,600 "," 60,485,600 "," 12,097,120 ",20.0%," 29,637,944 "," 5,605,710 "," 24,032,234 ",79.56%,9.27%,11.17%,39.73%,0.39," 20,692.93 "," 3,871.64 ", 3.86 , 0.72 ,19.94%,12.31%,8.97928335,10.65841348,,68.0412269,4.556067721," 14,600 ", (350),-2.34%,-3.95%,-6.11%,18.70%,17.74%," 31,250 ", -   ," 19,385 ", -   ," 31,250 "," 19,385 "," 578,087,300 ",-22.16%," 38,481 ", -   , -   , -   , -   , -   , -   
BTT,HOSE,Ben Thanh Trading and Service,Retail L2,23.08835566," 13,500,000 "," 13,500,000 "," 4,050,000 ",30.0%," 6,615,000 "," 11,443 "," 6,603,557 ",41.39%,0.08%,58.52%,48.92%,-0.20," 26,997.33 "," 3,660.14 ", 10.89 , 1.48 ,13.60%,9.32%,2.490699509,2.988501792,,0,1.550855124," 39,700 ", (150),-0.38%,1.79%,-11.78%,2.72%,9.37%, 200 , -   , 339 , -   , 200 , 339 ," 38,295,275 ",-79.11%," 1,000 ", -   , -   , -   , -   , -   , -   
BVH,HOSE,Bao Viet Group,Insurance L2,1544.573709," 742,322,764 "," 742,322,764 "," 66,809,049 ",9.0%," 363,738,154 "," 209,439,613 "," 154,298,541 ",72.00%,28.25%,-0.25%,20.79%,1.82," 25,992.61 "," 1,127.88 ", 43.62 , 1.89 ,4.45%,0.64%,-155.2317767,-147.1751703,,0,0," 48,300 ", (900),-1.83%,-7.82%,-3.01%,-29.59%,-39.85%," 1,764,620 ", -   ," 3,636,047 ", -   ," 1,764,620 "," 3,636,047 "," 56,816,282,950 ",48.56%," 1,122,632 "," 89,680 "," (360,930)"," (271,250)"," 184,926 "," (739,643)"," (554,717)"
BWE,HOSE,Binh Duong Water Environment,Utilities L2,149.9159953," 150,000,000 "," 150,000,000 "," 45,000,000 ",30.0%," 73,500,000 "," 14,148,190 "," 59,351,810 ",25.00%,9.42%,65.58%,39.57%,0.57," 14,916.79 "," 3,359.43 ", 7.07 , 1.59 ,23.15%,8.03%,28.39535938,47.23063315,,135.6998234,20.24727523," 23,200 ", (550),-2.32%,-1.07%,7.91%,0.87%,-10.42%," 243,990 ", -   ," 243,259 ", -   ," 243,990 "," 243,259 "," 4,444,754,400 ",27.05%," 198,022 "," 30,060 "," (4,660)"," 25,400 "," 29,944 "," (4,623)"," 25,321 "
C32,HOSE,Construction Investment 3-2,Construction & Materials L2,15.53971826," 15,030,145 "," 15,030,145 "," 12,024,116 ",80.0%," 7,364,771 "," 3,562,565 "," 3,802,206 ",0.00%,23.65%,76.35%,25.30%,0.37," 34,010.28 "," 5,775.80 ", 4.16 , 0.71 ,17.16%,9.90%,3.855748894,4.620918932,,32.74027485,3.92021712," 24,000 ", -   ,0.00%,-4.00%,-3.81%,6.19%,-13.04%," 82,710 ", -   ," 84,350 ", -   ," 82,710 "," 84,350 "," 1,870,469,925 ",4.68%," 74,945 "," 8,100 ", -   ," 8,100 "," 8,347 ", -   ," 8,347 "
C47,HOSE,Construction 47,Construction & Materials L2,7.515458256," 17,020,130 "," 17,020,130 "," 13,616,104 ",80.0%," 8,339,863 "," 42,830 "," 8,297,033 ",0.00%,0.25%,99.75%,48.75%,0.36," 14,947.85 ", 407.34 , 27.00 , 0.74 ,2.37%,0.34%,1.625384674,2.389687024,,0,0," 10,250 ", (750),-6.82%,-4.21%,19.88%,1.99%,-18.97%," 7,100 ", -   ," 3,164 ", -   ," 7,100 "," 3,164 "," 364,210,665 ",-79.96%," 32,813 ", -   , -   , -   , -   , -   , -   
CAV,HOSE,Vietnam Electric Cable,Industrial Goods & Services L2,170.8857395," 57,489,430 "," 57,600,000 "," 3,449,366 ",6.0%," 28,224,000 "," 163,622 "," 28,060,378 ",0.00%,0.28%,99.72%,48.81%,-0.01," 29,229.25 "," 8,131.95 ", 8.49 , 2.36 ,29.82%,11.22%,30.94087413,36.2316335,,447.6801792,17.26618705," 69,000 ", -   ,0.00%,-2.82%,6.15%,22.78%,31.68%, -   , -   , -   , -   , -   , -   ," 97,234,200 ",-67.09%," 1,481 ", -   , -   , -   , -   , -   , -   
CCI,HOSE,CIDICO,Real Estate L2,10.73035329," 17,541,105 "," 17,743,865 "," 8,770,553 ",50.0%," 8,694,493 "," 445,830 "," 8,248,663 ",25.68%,2.52%,71.80%,47.02%,0.26," 16,031.94 "," 1,999.21 ", 6.95 , 0.87 ,13.05%,5.11%,0.859620455,1.239050317,,0,0," 14,200 ", 300 ,2.16%,0.71%,12.70%,-7.19%,4.41%," 2,160 ", -   ," 1,286 ", -   ," 2,160 "," 1,286 "," 32,588,925 ",-7.94%," 2,367 ", -   ," (2,040)"," (2,040)", -   ," (1,213)"," (1,213)"
CCL,HOSE,Cuu Long Petro Urban Development,Real Estate L2,13.73041952," 47,499,885 "," 47,499,885 "," 35,624,914 ",75.0%," 23,274,943 "," 1,947,766 "," 21,327,177 ",0.00%,4.10%,95.90%,44.90%,1.32," 11,729.63 ", 963.61 , 7.26 , 0.60 ,8.30%,5.00%,3.06228089,3.042199043,,40.92534356,2.240124068," 6,710 ", (290),-4.14%,-5.49%,-9.45%,-17.16%,38.64%," 440,460 ", -   ," 126,613 ", -   ," 440,460 "," 126,613 "," 2,234,618,200 ",31.52%," 307,873 ", -   , -   , -   , -   , -   , -   
CDC,HOSE,Chuong Duong Corp,Construction & Materials L2,10.82593788," 15,706,406 "," 15,706,406 "," 7,067,883 ",45.0%," 7,696,138 "," 52,452 "," 7,643,686 ",0.00%,0.33%,99.67%,48.67%,0.55," 17,803.01 "," 2,165.48 ", 7.39 , 0.90 ,11.96%,3.88%,1.226525869,1.457197811,,0,0," 16,000 ", -   ,0.00%,0.00%,6.67%,-4.76%,0.00%, -   , -   , -   , -   , -   , -   ," 8,014,725 ",-12.66%, 520 , -   , -   , -   , -   , -   , -   
CEE,HOSE,CII Engineering,Construction & Materials L2,24.67367423," 39,500,000 "," 41,500,000 "," 11,850,000 ",30.0%," 20,335,000 "," 119,480 "," 20,215,520 ",0.00%,0.29%,99.71%,51.18%,-0.52," 10,156.38 "," (1,570.32)", (9.58), 1.48 ,-14.75%,-3.12%,-0.142332265,0.505122736,,58.70525137,3.60035325," 14,500 ", (550),-3.65%,-4.92%,7.41%,-11.59%,-11.59%, 100 , -   , 62 , -   , 100 , 62 ," 13,180,400 ",-92.41%, 892 , -   , -   , -   , -   , -   , -   
CHP,HOSE,Central Hydropower,Utilities L2,113.7423651," 138,598,505 "," 138,598,505 "," 48,509,477 ",35.0%," 67,913,267 "," 4,794,068 "," 63,119,199 ",45.94%,3.46%,50.60%,45.54%,0.25," 12,618.87 "," 1,091.64 ", 17.40 , 1.51 ,8.74%,4.16%,12.83476611,8.637399107,,0,0," 19,050 ", 50 ,0.26%,-1.30%,0.26%,-5.22%,-16.08%," 12,000 ", -   ," 9,594 ", -   ," 12,000 "," 9,594 "," 175,362,850 ",27.16%," 9,207 ", -   , -   , -   , -   , -   , -   
CIG,HOSE,COMA 18,Construction & Materials L2,2.771787011," 31,539,947 "," 31,539,947 "," 11,038,981 ",35.0%," 15,454,574 "," 2,790 "," 15,451,784 ",0.00%,0.01%,99.99%,48.99%,-0.42," 6,454.10 ", (67.60), (30.62), 0.32 ,-0.64%,-0.24%,-0.247861355,-0.2276613,,0,0," 2,040 ", (30),-1.45%,12.09%,13.33%,-12.82%,-41.71%," 52,410 ", -   ," 4,476 ", -   ," 52,410 "," 4,476 "," 27,685,790 ",275.64%," 15,419 ", -   , -   , -   , -   , -   , -   
